Date,Open,High,Low,Close,Volume
11/02/2015 16:56:00,"57,85","57,85","57,85","57,85",80
12/02/2015 16:56:00,"57,01","58,68",57,"58,65",12140
13/02/2015 16:56:00,"59,6","60,09","59,57","60,09",12220
18/02/2015 16:56:00,"61,16","61,16","61,16","61,16",50
19/02/2015 16:56:00,"60,63","61,16","60,63","60,98",3100
20/02/2015 16:56:00,"60,51","60,57","60,4","60,4",1200
23/02/2015 16:56:00,"60,91","61,01","60,91","60,97",1620
25/02/2015 16:56:00,61,"61,55",61,"61,55",650
26/02/2015 16:56:00,"61,25","61,65","61,22","61,65",2770
27/02/2015 16:56:00,"62,58","62,58","61,63","61,63",80
02/03/2015 16:56:00,"61,35","61,35","60,93","60,93",1470
03/03/2015 16:56:00,"61,15","61,15","61,15","61,15",500
04/03/2015 16:56:00,"60,24","60,4","60,23","60,4",1750
05/03/2015 16:56:00,"60,09","60,14","60,07","60,11",15500
06/03/2015 16:56:00,"60,14","60,14","60,14","60,14",500
09/03/2015 16:56:00,"58,82","58,82","58,8","58,8",600
10/03/2015 16:56:00,"58,16","58,27","58,16","58,27",700
11/03/2015 16:56:00,"58,26","58,26","58,22","58,22",1000
13/03/2015 16:56:00,"57,82","57,82","57,8","57,8",50
16/03/2015 16:56:00,"58,51","58,51","58,49","58,49",600
17/03/2015 16:56:00,"59,96","60,01","59,87",60,7000
18/03/2015 16:56:00,"60,01","60,56","60,01","60,56",820
19/03/2015 16:56:00,"61,34","61,34","61,02","61,02",570
20/03/2015 16:56:00,"61,37","62,37","61,37","62,2",34320
23/03/2015 16:56:00,"61,64","61,74","61,64","61,74",1100
24/03/2015 16:56:00,"61,41","61,41","61,41","61,41",10
26/03/2015 16:56:00,"60,32","60,32","60,32","60,32",480
27/03/2015 16:56:00,"59,8","59,8","59,8","59,8",150
30/03/2015 16:56:00,"60,37","60,93","60,37","60,93",660
31/03/2015 16:56:00,"59,31","61,22","59,31",61,1540
01/04/2015 16:56:00,"62,15","62,33","62,15","62,33",620
02/04/2015 16:56:00,"62,59",63,"61,21","61,21",1110
06/04/2015 16:56:00,"63,63","63,85","63,49","63,8",12060
08/04/2015 16:56:00,64,"64,13",64,"64,01",1130
09/04/2015 16:56:00,"63,11","63,11","63,11","63,11",200
10/04/2015 16:56:00,"63,37","63,37","63,37","63,37",160
13/04/2015 16:56:00,"63,58","63,58","63,58","63,58",300
15/04/2015 16:56:00,"63,24","63,57","63,24","63,54",1950
16/04/2015 16:56:00,"63,5","63,5","63,45","63,45",1270
17/04/2015 16:56:00,63,63,"62,82","62,82",720
20/04/2015 16:56:00,"62,65","62,65","62,65","62,65",40
23/04/2015 16:56:00,"63,96","64,22","63,96","64,22",600
24/04/2015 16:56:00,"64,75","65,3","64,75","65,3",35960
27/04/2015 16:56:00,"64,3","64,3","64,3","64,3",200
28/04/2015 16:56:00,"64,05","64,5","64,05","64,5",440
29/04/2015 16:56:00,"64,5","64,5","64,5","64,5",300
30/04/2015 16:56:00,65,65,"64,96","64,96",220
04/05/2015 16:56:00,"66,22","66,33","66,01","66,33",550
05/05/2015 16:56:00,"66,4","66,66","66,4","66,59",2500
06/05/2015 16:56:00,"65,58","65,58","65,58","65,58",200
07/05/2015 16:56:00,"65,43","65,43","65,35","65,35",2500
08/05/2015 16:56:00,"65,5","66,16","65,5","65,8",1890
11/05/2015 16:56:00,"65,87","65,88","65,83","65,83",1000
12/05/2015 16:56:00,"65,5","65,65","65,5","65,62",3000
