Date;Open;High;Low;Close;Adj Close;Volume
05/02/2013;56.259998;57.5;56.259998;57.080002;57.080002;11240
06/02/2013;57.099998;57.099998;56.34;56.5;56.5;4280
07/02/2013;56.5;56.91;55.84;56.150002;56.150002;9540
08/02/2013;55.889999;56.5;55.75;56.5;56.5;7890
13/02/2013;56.799999;56.799999;55.110001;56.400002;56.400002;3320
14/02/2013;55.610001;56;55.57;56;56;4070
15/02/2013;55.349998;56.349998;55.349998;56.349998;56.349998;7920
18/02/2013;56;56.400002;55.880001;56.400002;56.400002;5230
19/02/2013;55.75;56.450001;55.75;56.259998;56.259998;8390
20/02/2013;55.900002;55.900002;54.75;55.349998;55.349998;6270
21/02/2013;55;55.099998;54.130001;54.900002;54.900002;11130
22/02/2013;54.950001;55.400002;54.700001;55.400002;55.400002;6390
25/02/2013;55.299999;55.549999;54.860001;55.369999;55.369999;10820
26/02/2013;54.630001;55.529999;54.57;55.529999;55.529999;11960
27/02/2013;55.349998;55.619999;55.02;55.509998;55.509998;11520
28/02/2013;54.02;56.23;54.02;56.110001;56.110001;13030
01/03/2013;55.5;56.099998;55.490002;56.099998;56.099998;11780
04/03/2013;54.849998;55.799999;54.849998;55.799999;55.799999;9090
05/03/2013;56;56.330002;55.639999;55.959999;55.959999;19210
06/03/2013;56.25;56.869999;55.779999;56.860001;56.860001;15680
07/03/2013;57.009998;57.189999;56.73;56.799999;56.799999;20180
08/03/2013;56.02;57.259998;55.759998;57.259998;57.259998;11540
11/03/2013;57;57.169998;56.049999;57.139999;57.139999;3740
12/03/2013;56.91;56.91;56.529999;56.529999;56.529999;12980
13/03/2013;56.490002;56.52;55.869999;55.93;55.93;9400
14/03/2013;56.040001;56.040001;55.380001;55.900002;55.900002;5890
15/03/2013;55.48;55.880001;55.459999;55.700001;55.700001;3220
18/03/2013;55.299999;55.73;55.16;55.720001;55.720001;4350
19/03/2013;55.299999;55.73;54.950001;55.25;55.25;5290
20/03/2013;54.41;55.369999;54.150002;55.299999;55.299999;11100
21/03/2013;54.459999;55.009998;54.459999;54.5;54.5;9350
22/03/2013;54.5;54.860001;54.18;54.610001;54.610001;10360
25/03/2013;54.540001;54.779999;53.360001;54.189999;54.189999;6670
26/03/2013;54.299999;54.919998;53.32;54.919998;54.919998;6810
27/03/2013;54.630001;55.299999;54.529999;55.299999;55.299999;4750
28/03/2013;55.950001;55.950001;55.950001;55.950001;55.950001;0
01/04/2013;55.77;55.849998;53;53;53;9760
02/04/2013;55.77;55.849998;53;54.98;54.98;5270
03/04/2013;54.52;55.5;54.52;55.5;55.5;5000
04/04/2013;55.189999;55.189999;54.380001;54.5;54.5;5380
05/04/2013;53.77;54.700001;53.330002;54.700001;54.700001;11270
