Date,Close
22/11/2010,69632
23/11/2010,67952
24/11/2010,69629
25/11/2010,69361
26/11/2010,68226
29/11/2010,67908
30/11/2010,67705
01/12/2010,69345
02/12/2010,69527
03/12/2010,69766
06/12/2010,69551
07/12/2010,69337
08/12/2010,68174
09/12/2010,67879
10/12/2010,68341
13/12/2010,69126
14/12/2010,68742
15/12/2010,67870
16/12/2010,67306
17/12/2010,67981
20/12/2010,67263
21/12/2010,68214
22/12/2010,68470
23/12/2010,68485
27/12/2010,67803
28/12/2010,68040
29/12/2010,68952
30/12/2010,69304
03/01/2011,69962
04/01/2011,70317
05/01/2011,71091
06/01/2011,70578
07/01/2011,70057
10/01/2011,70127
11/01/2011,70423
12/01/2011,71632
13/01/2011,70721
14/01/2011,70940
17/01/2011,70609
18/01/2011,70919
19/01/2011,70058
20/01/2011,69561
21/01/2011,69133
24/01/2011,69426
26/01/2011,68709
27/01/2011,68050
28/01/2011,66697
31/01/2011,66574
02/02/2011,66688
04/02/2011,65269
07/02/2011,65362
09/02/2011,64217
10/02/2011,64577
11/02/2011,65755
14/02/2011,66557
15/02/2011,66341
16/02/2011,67576
17/02/2011,67684
18/02/2011,68066
21/02/2011,67258
22/02/2011,66439
23/02/2011,66910
25/02/2011,66902
28/02/2011,67383
01/03/2011,66242
02/03/2011,67281
03/03/2011,68145
04/03/2011,68012
10/03/2011,66040
11/03/2011,66684
14/03/2011,67169
15/03/2011,67005
16/03/2011,66002
17/03/2011,66215
18/03/2011,66879
22/03/2011,66689
23/03/2011,67795
25/03/2011,67532
28/03/2011,67192
30/03/2011,67418
31/03/2011,67997
01/04/2011,68586
05/04/2011,69703
06/04/2011,69837
07/04/2011,69176
08/04/2011,68718
11/04/2011,68164
12/04/2011,66896
13/04/2011,66486
14/04/2011,66278
15/04/2011,66684
18/04/2011,65415
19/04/2011,66158
20/04/2011,67058
25/04/2011,66972
26/04/2011,67144
27/04/2011,66264
28/04/2011,65673
29/04/2011,66132
02/05/2011,65462
03/05/2011,64318
04/05/2011,63615
05/05/2011,63407
06/05/2011,64417
10/05/2011,64621
11/05/2011,63775
12/05/2011,64003
13/05/2011,63235
17/05/2011,63673
18/05/2011,62840
19/05/2011,62367
20/05/2011,62596
23/05/2011,62345
24/05/2011,63336
25/05/2011,63388
26/05/2011,64098
27/05/2011,64294
30/05/2011,63953
31/05/2011,64620
01/06/2011,63411
02/06/2011,64218
03/06/2011,64340
06/06/2011,63067
08/06/2011,63032
09/06/2011,63468
10/06/2011,62697
13/06/2011,62022
14/06/2011,62204
15/06/2011,61603
16/06/2011,60880
17/06/2011,61059
20/06/2011,61168
21/06/2011,61423
22/06/2011,61194
24/06/2011,61016
27/06/2011,61216
28/06/2011,62303
29/06/2011,62333
30/06/2011,62403
01/07/2011,63394
04/07/2011,63891
05/07/2011,63038
06/07/2011,62565
07/07/2011,62207
08/07/2011,61513
11/07/2011,60223
12/07/2011,59704
13/07/2011,60669
14/07/2011,59679
15/07/2011,59478
19/07/2011,59082
20/07/2011,59119
21/07/2011,60262
22/07/2011,60270
26/07/2011,59339
27/07/2011,58288
28/07/2011,58708
01/08/2011,58535
02/08/2011,57310
03/08/2011,56017
04/08/2011,52811
05/08/2011,52949
08/08/2011,48668
09/08/2011,51150
10/08/2011,51395
11/08/2011,53343
15/08/2011,54651
16/08/2011,54323
18/08/2011,53134
19/08/2011,52447
22/08/2011,52440
23/08/2011,53786
25/08/2011,52953
26/08/2011,53350
29/08/2011,54860
30/08/2011,55385
31/08/2011,56495
01/09/2011,58118
02/09/2011,56531
05/09/2011,54998
06/09/2011,56607
08/09/2011,57623
09/09/2011,55778
12/09/2011,55685
13/09/2011,55543
14/09/2011,56286
15/09/2011,56381
16/09/2011,57210
19/09/2011,57102
20/09/2011,56378
21/09/2011,55981
22/09/2011,53280
23/09/2011,53230
27/09/2011,53920
28/09/2011,53270
29/09/2011,53384
30/09/2011,52324
03/10/2011,50791
05/10/2011,51013
06/10/2011,52290
07/10/2011,51243
10/10/2011,53273
11/10/2011,53838
13/10/2011,54601
14/10/2011,55030
18/10/2011,53911
19/10/2011,54966
20/10/2011,54009
21/10/2011,55255
25/10/2011,56891
26/10/2011,56285
27/10/2011,57143
28/10/2011,59270
31/10/2011,59513
01/11/2011,57322
03/11/2011,58196
04/11/2011,58669
07/11/2011,59198
08/11/2011,59026
09/11/2011,57549
11/11/2011,58546
14/11/2011,58258
16/11/2011,58559
17/11/2011,56988
18/11/2011,56731
21/11/2011,56284
22/11/2011,55878
23/11/2011,54972
24/11/2011,55279
25/11/2011,54894
28/11/2011,56017
29/11/2011,55299
30/11/2011,56874
01/12/2011,58143
02/12/2011,57885
05/12/2011,58910
06/12/2011,59536
07/12/2011,58662
09/12/2011,58236
13/12/2011,57494
14/12/2011,56646
15/12/2011,56331
16/12/2011,56096
20/12/2011,56864
21/12/2011,56653
22/12/2011,57347
23/12/2011,57701
26/12/2011,57669
27/12/2011,58005
28/12/2011,56533
29/12/2011,56754
02/01/2012,57829
03/01/2012,59264
04/01/2012,59364
05/01/2012,58546
06/01/2012,58600
09/01/2012,59082
10/01/2012,59805
11/01/2012,59962
12/01/2012,59920
13/01/2012,59146
16/01/2012,59956
18/01/2012,61722
19/01/2012,61926
20/01/2012,62312
23/01/2012,62386
24/01/2012,62486
26/01/2012,62953
27/01/2012,62904
30/01/2012,62770
31/01/2012,63072
01/02/2012,64567
02/02/2012,64593
03/02/2012,65217
06/02/2012,65223
07/02/2012,65917
08/02/2012,65831
09/02/2012,65530
10/02/2012,63997
13/02/2012,65691
14/02/2012,65038
15/02/2012,65368
16/02/2012,66141
17/02/2012,66203
22/02/2012,66092
23/02/2012,65819
24/02/2012,65942
27/02/2012,65241
28/02/2012,65958
29/02/2012,65811
02/03/2012,67781
05/03/2012,66964
06/03/2012,65114
08/03/2012,66908
09/03/2012,66703
12/03/2012,66384
13/03/2012,68394
14/03/2012,68257
15/03/2012,67749
16/03/2012,67684
20/03/2012,67295
22/03/2012,66860
23/03/2012,65812
26/03/2012,66684
27/03/2012,66037
28/03/2012,65079
29/03/2012,64871
02/04/2012,65216
03/04/2012,64284
04/04/2012,63528
05/04/2012,63691
09/04/2012,62923
10/04/2012,61738
11/04/2012,61293
12/04/2012,63058
13/04/2012,62105
17/04/2012,62698
18/04/2012,63010
19/04/2012,62618
20/04/2012,62494
23/04/2012,61539
24/04/2012,61971
25/04/2012,61750
26/04/2012,62198
27/04/2012,61691
02/05/2012,61820
03/05/2012,62104
04/05/2012,60820
07/05/2012,61220
08/05/2012,60365
09/05/2012,59786
10/05/2012,59702
14/05/2012,57539
15/05/2012,56237
16/05/2012,55887
17/05/2012,54038
18/05/2012,54513
21/05/2012,56590
22/05/2012,55038
23/05/2012,54619
24/05/2012,54063
25/05/2012,54463
28/05/2012,55212
29/05/2012,54633
30/05/2012,53797
01/06/2012,53402
04/06/2012,53416
05/06/2012,52481
06/06/2012,54156
08/06/2012,54429
11/06/2012,54001
12/06/2012,55049
13/06/2012,55650
14/06/2012,55351
15/06/2012,56104
18/06/2012,56195
19/06/2012,57195
20/06/2012,57166
21/06/2012,55505
22/06/2012,55439
25/06/2012,53805
26/06/2012,53836
27/06/2012,53108
28/06/2012,52652
29/06/2012,54354
02/07/2012,54692
03/07/2012,55780
05/07/2012,56379
06/07/2012,55394
10/07/2012,53705
11/07/2012,53569
12/07/2012,53420
13/07/2012,54330
16/07/2012,53401
17/07/2012,53909
18/07/2012,54583
19/07/2012,55346
20/07/2012,54194
23/07/2012,53033
24/07/2012,52638
25/07/2012,52607
26/07/2012,54002
27/07/2012,56553
30/07/2012,57240
31/07/2012,56097
01/08/2012,56291
02/08/2012,55520
03/08/2012,57255
06/08/2012,58344
07/08/2012,57725
08/08/2012,58950
10/08/2012,58797
13/08/2012,59122
14/08/2012,"58082,92"
15/08/2012,"58189,28"
16/08/2012,"59445,79"
17/08/2012,"59082,37"
20/08/2012,"59283,09"
21/08/2012,"58917,73"
22/08/2012,"59380,76"
23/08/2012,"58511,55"
24/08/2012,"58425,76"
27/08/2012,"58111,46"
28/08/2012,"58406,4"
29/08/2012,"57369,19"
30/08/2012,"57256,43"
31/08/2012,"57061,45"
03/09/2012,"57281,45"
05/09/2012,"56863,91"
06/09/2012,"58321,24"
10/09/2012,"58404,1"
11/09/2012,"59422,55"
12/09/2012,"59921,8"
13/09/2012,"61958,12"
14/09/2012,"62105,47"
17/09/2012,"61805,98"
18/09/2012,"61804,33"
19/09/2012,"61651,83"
20/09/2012,"61687,97"
21/09/2012,"61320,07"
24/09/2012,"61909,99"
25/09/2012,"60501,1"
26/09/2012,"60478,05"
27/09/2012,"60239,79"
28/09/2012,"59175,86"
01/10/2012,"59570,8"
02/10/2012,"59222,08"
03/10/2012,"58627,33"
04/10/2012,58458
05/10/2012,"58571,59"
08/10/2012,"59317,15"
09/10/2012,"58939,46"
10/10/2012,"58456,28"
11/10/2012,"59161,72"
15/10/2012,"59601,71"
16/10/2012,"59743,87"
17/10/2012,"60087,29"
18/10/2012,"59733,9"
19/10/2012,"58922,04"
22/10/2012,"58700,3"
23/10/2012,"57690,24"
24/10/2012,"57160,74"
25/10/2012,"57836,78"
26/10/2012,"57276,81"
29/10/2012,"57176,58"
30/10/2012,"57683,76"
31/10/2012,"57068,18"
01/11/2012,"58382,68"
05/11/2012,"58209,76"
06/11/2012,"59458,59"
07/11/2012,"58517,35"
08/11/2012,"57524,45"
09/11/2012,"57357,71"
12/11/2012,"57064,31"
13/11/2012,"57486,07"
14/11/2012,"56279,36"
15/11/2012,56279
16/11/2012,"55402,33"
19/11/2012,"56450,86"
21/11/2012,"56242,12"
22/11/2012,"56436,97"
23/11/2012,"57574,03"
26/11/2012,"56737,1"
27/11/2012,"56248,09"
28/11/2012,"56539,4"
29/11/2012,"57852,53"
30/11/2012,"57474,57"
03/12/2012,"58202,35"
04/12/2012,"57563,23"
05/12/2012,"57678,62"
06/12/2012,"57656,42"
07/12/2012,"58487,32"
10/12/2012,"59248,23"
11/12/2012,"59623,34"
12/12/2012,"59474,18"
13/12/2012,"59316,75"
14/12/2012,"59604,92"
17/12/2012,"59566,52"
18/12/2012,"60460,73"
19/12/2012,"60998,34"
20/12/2012,"61276,12"
21/12/2012,"61007,03"
26/12/2012,"60959,79"
27/12/2012,"60415,95"
28/12/2012,"60952,08"
02/01/2013,"62550,1"
03/01/2013,"63312,46"
04/01/2013,"62523,06"
07/01/2013,"61932,54"
08/01/2013,"61127,84"
09/01/2013,"61578,58"
10/01/2013,"61678,31"
11/01/2013,"61497,43"
14/01/2013,"62080,79"
15/01/2013,"61727,61"
16/01/2013,"61787,35"
17/01/2013,"62194,06"
18/01/2013,"61956,14"
21/01/2013,"61899,71"
22/01/2013,"61692,29"
23/01/2013,"61966,26"
24/01/2013,"61169,83"
28/01/2013,"60027,07"
29/01/2013,"60406,33"
30/01/2013,"59336,7"
31/01/2013,"59761,49"
01/02/2013,"60351,16"
04/02/2013,"59575,66"
05/02/2013,"59444,97"
06/02/2013,"58951,07"
07/02/2013,"58372,46"
08/02/2013,"58497,83"
13/02/2013,"58405,74"
14/02/2013,"58077,31"
15/02/2013,"57903,3"
18/02/2013,"57613,9"
19/02/2013,"57314,4"
20/02/2013,"56177,6"
21/02/2013,"56154,68"
22/02/2013,"56697,06"
25/02/2013,"56617,56"
26/02/2013,"56948,87"
27/02/2013,"57273,88"
28/02/2013,"57424,29"
01/03/2013,"56883,99"
04/03/2013,"56499,17"
05/03/2013,"55950,73"
06/03/2013,"57940,14"
07/03/2013,"58846,81"
08/03/2013,"58432,75"
11/03/2013,"58544,79"
12/03/2013,"58208,61"
13/03/2013,"57385,9"
14/03/2013,"57281,02"
15/03/2013,"56869,28"
18/03/2013,"56972,96"
19/03/2013,"56361,24"
20/03/2013,"56030,03"
21/03/2013,"55576,67"
22/03/2013,"55243,4"
25/03/2013,"54873,12"
26/03/2013,"55671,39"
27/03/2013,"56034,29"
28/03/2013,"56352,09"
01/04/2013,"55902,18"
02/04/2013,"54889,1"
03/04/2013,"55562,74"
04/04/2013,"54648,15"
05/04/2013,"55050,6"
08/04/2013,"55092,31"
09/04/2013,"55912,04"
10/04/2013,"56186,56"
11/04/2013,"55400,91"
12/04/2013,"54962,65"
15/04/2013,"52949,93"
16/04/2013,"53990,83"
17/04/2013,"52881,96"
18/04/2013,"53165,91"
19/04/2013,"53928,92"
22/04/2013,"54297,73"
23/04/2013,"54884,75"
24/04/2013,"54984,23"
25/04/2013,"54963,32"
